Equity issue, day of week, description (from line)
1895-02-28, Saturday,  Mr R. W. Resseman has been appointed superintendent of the P. P. J. Railway Mr. J. T. Prince resigned. The new official went over the line by special train on Saturday last.
1895-02-28, Sunday,  1st Sunday In Lent. March 8. Ht. James Bryson Morning Prayer 10 80 a.m.
1895-02-28, Friday,  Friday March 8.-Ht George's P. D. Fort short Lenten service at 7.80 p.ra
1895-02-28, Tuesday,  A very pleasant evening was spent by a party of young people on Tuesday evening at the residence of Mrs. Joseph Brownlee. Among the number was 11 Foci# Pete.
1895-02-28, Sunday,  A sleigh load of yeung Bristol people spent Sunday with Mr. and Mrs. J. Stewart and family.
1895-02-28, Monday,  Mr. and Mrs Bell of Alleyn were the guests of Mrs R. Farrell on Monday night while on their way to Sliawville.
1895-02-28, Wednesday,  Will visit Shawville on the aeeond Wednesday of every month.
1895-02-28, Tbenday,  8hawtiUe on Tbenday .rating March 7.
1895-02-28, some day,  Ueistand a letter from Mi. D. Gillies was read in which that gentleman declined the nomination tendered him some days . Several persons were spoken of as the probable candidate* bui the choice seiued to centre on Mr. Henry Aylun adA committee of three Liberal
1895-02-28, future day,  partook of a sumptuous dinner. Every body seemed highly pleased with the kind treatment they had received. There was a little disappointment with some but future days will reveal all things. The bride and groom left after dinner for their future home in Renfrew wit h the best wishes of all for a happy journey through this vale of
1895-02-28, brief day,  he allowed Loua. Marcel to assist him in brief days are balanced by long year of oun? * tobaooonist a where there were a	. n  n 
1895-02-28, Sunday,  Horse racing prevails in SL Catharines on Sunday to some extent.
1895-02-28, Friday,  In the House of Commons on Friday Mr.
1895-02-28, Saturday,  speech on the occasion Mr. D is reported on Saturday to represent the Ro to have delivered himself as follows | man Catholics in the appeal to the
1895-02-28, these day,  In these days when the sin of evil habits are
1895-02-28, to day,  One of the moat popular yarn in Utbrel- to day not only boe.te en abundance of lnd now another of 160000000heve been hMkito leiru that 1842 ten year after
1895-02-28, the day,  prodigious turbans prescribed by sumptuary etiquette in the first years of the century and modelled from the garb worn by Turkish en dees in the days of Mahomet the
1895-02-28, Monday,  The' death is announced at Ottawa on Monday of Mr. Allan Gllmour a gentle well known in this section from his
1895-02-28, sutlici day,  At Quy.tn village at 6 o'clock of Mon 0f gtM)tj fauh and provide a capital sutlici day afternoon last Mr. Walter ( leary of wiili the subsidies for the completion Billerica joined heart and hand with Miss uf the work without the enforced use of M E Ohearn of Quyon Rev. B. Kier the men's wages This could be done nan officiating. The bride was sustained ^ insisting upon a gurrantee and by by hie biatvrt Bliss IVesie ()h^srnt whilst providing a jHMialty for infraction he-the groom's brother Mr. A. Cleary per- fure ay portion of the subsidy is drawn formed a like service for him. After	of the lesser officials with an ill-
Binary file 1895-02-28,  matches
1895-03-07, Thursday,  ing (Thursday.) Doors open at 7 ; perfor i^tween six and seven million feet of styles for spring and summer.
1895-03-07, Sunday,  l^ssed a wav on Sunday afternoon last at of high grade milling and have the beat *n their preparation. The prisse for the
1895-03-07, Wednesday,  Will vlelt Shawvilie on the aeoond Wednesday of every month.
1895-03-07, Satorday,  Mrs. Wm. Steele was visiting friends remained over night at Otter Lake in this section last week.	Satorday bat.
1895-03-07, Tuesday,  On Tuesday Feb. 26th Dr. Gauthier of Fort Coolonge warn united in marriage at Pembroke by Bishop Lorrain to Mias E. Dube of Sudbury.
1895-03-07, Monday,  and Overshoes	st O. Fred Hodgine'.	llr Riehard hmll left	Monday with	cased.
1895-03-07, If yon expert to conquer In the b title of to day
1895-03-07, all day,  Is the man that ploughs all day ;
1895-03-07, Monday,  McCluretwo of the family who went crazy The Toronto Mail announces that at a over religion were examined on Monday meeting in Toronto the other evening Dr. afternoon. They will be sent to Toronto Oronhyatekha stated that he had made asylum. John the younger brother fery favorable arrangements with one of hae almost fnllv recovered and is at liber- the beet steamship lines to carry ty. The mother has also recovered and members of the I. O. F. to England at home. The daughters are being treat jujy Full particulars will be given in a ed by Dr. C. Y. Moore. They are making |*ter Forester. This is good news for satisfactory improvement and will no those of that body who want a cheap tnp doubt ere long regain their senses.	to England.
1895-03-07, Sunday,  _ . .	. __	.	\ _ Z . .. . Early on Sunday morning Toronto was
1895-03-07, needay,  I fire engine purchased by the Winnipeg |needay night
1895-03-07, Saturday,  Mr. P. Mahon died on Saturday from Lord Roseberry is indisposed and is con- it.	J y	agsiuat	* ir nou metallic substances winter to the manufacture of clothes for
1895-03-07, Thursday,  The Hamilton 1 hist les on Thursday won
1895-03-07, Wednesday,  the Ontario Curling Association TankardH^HHI^IH^^I^HP^^^V for the fifth time defeating Lindsay by one At the annual meeting on Wednesday of
1895-03-07, Wednesday,  the owners of the Glasgow steamship lines Premier Howell on Wednesday received a t*le chairman said that the present proa-deputation asking for Government assist- P*ct &Hbrdod no ground to look for ance towards the return of 800 families of Pavement m the shipping trade during the French-Canadians settled in Northern present year
1895-03-07, Two day,  All my gladness perished in one gasping Two days ago he came into the drawing-	have conjured up lhe ehadow of lhe
1895-03-07, Monday,  The death ieenuouaeed at Ottawa on Monday of Mr. Allan Ollmour a gentleman well known in this auction from his
1895-03-07, Wednesday,  On Wednesday last Police Magistrate
1895-03-07, several day,  alongside of the table and froieu stiff 
showing that death roust have occurred several days previously. That hie end
Binary file 1895-03-07,  matches
1895-03-14, delayed day,  Owing to an accident to our press thu printing of Tiik EqPITY was delayed day last week.
1895-03-14, Wednesday,  Quite a number of our villagers attend <led the County land sales at Bryson Wednesday last.
1895-03-14, Thursday,  Mrs. David Manchester of Ottawa was the guest of Mrs. John D'dan Thursday night last. She returned home the following morning.
1895-03-14, Sunday,  New Dhuu Stoke Main St. Shaw* A choice assortment of Drugs and Chemicals constantly on hand. Also a full stock of Patent Medicines; Horse and Cattle medicines of all kinds. Prescriptions and family receipes carefully put up at all hours. Open on Sunday between 12 and 1 p m. Du. 11.H. Kux k.
1895-03-14, Tuesday,  Carnival night Tuesday 19lh inst. Ad mission 15 cents costumed skaters admit ted free.
1895-03-14, Thursday,  is issued from the office of Publication at Shaw ville every Thursday.
1895-03-14, Friday,  A grand concert will be given in No. 5 school (Elliott's) by tho members of Victoria Lodge 1.0.0 T.on Friday evening March 22nd. All sre invited.
1895-03-14, Sunday,  The eclipse of the moon which occurred on Sunday night last was observed here under very favorable conditions not a cloud being visible in tho sky at the time of contact.
1895-03-14, Tuesday,  cler Franco Canadien. M'liiey to lend un easy terms. tW Will bein rthawville from Monday till Friday of each week. Will visit (guyun theaeiuud Tuesday of each month
1895-03-14, Sunday,  Miss Bella Cuthbertson spent Sunday with her sister Mrs. H. Stewart.
1895-03-14, Sunday,  Third Sunday in Lrnt- March 17189
1895-03-14, Friday,  Friday night. March 15 S. 8. Teachers 6.30 ; Evening Prayer 7 p.m. Special Lenten address The Consecration of Aaron."
1895-03-14, Wednesday,  Will visit Shawvllle on the second Wednesday of every month.
1895-03-14, SsSsS SSS2S3
1895-03-14, two day,  The cards ot invitation went out two days after that discussion. The list of names was written with the aid of the good Duturque whose professional career had brought him into communication with the art world of Paris though it had not elevated him to intimacy with celebrities. Dolores trusted much to her own reputation
1895-03-14, five day,  M I had #o severe an attack of sciatica in May :J4 that i covld hardly walk recommended by (j \V. Spaukman drug* gist to use South American Rheumatic Cure. 1 followed his advice and within five days was completely cured. Three years before when troubled with same complaint it took doctors three months to cure me.
1895-03-14, Friday,  ral days and Friday is the earliest d iy on which a full meeting can be held.
1895-03-14, Friday,  Manitoba government before taking any further action or whether it will be deemed advisable to take any other line of action cannot be known until after Friday's meeting of C >uncil.
1895-03-14, the day,  The same thing was observable through out the province. In North Ontario the Grit Patrons pretended they were going to support the Conservative condidate who was a farmer against the Grit candidate who was a lawyer but they bolted on the day of election and stuck by the In the federal	now pn
